original	mapped
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20	20
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
30	30
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
40	40
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
50	50
52	51
53	52
54	53
55	54
56	55
57	56
58	57
59	58
60	59
61	60
62	61
63	62
64	63
65	64
66	65
67	66
68	67
69	68
70	69
71	70
72	71
73	72
74	73
75	74
76	75
77	76
78	77
79	78
80	79
81	80
82	81
83	82
84	83
85	84
86	85
87	86
88	87
89	88
90	89
92	90
93	91
94	92
95	93
96	94
97	95
98	96
99	97
100	98
101	99
102	100
103	101
104	102
105	103
106	104
107	105
108	106
110	107
111	108
112	109
113	110
114	111
116	112
117	113
118	114
119	115
120	116
121	117
122	118
123	119
124	120
125	121
126	122
127	123
128	124
129	125
130	126
131	127
132	128
133	129
134	130
135	131
136	132
137	133
138	134
139	135
140	136
141	137
142	138
144	139
145	140
146	141
147	142
148	143
149	144
150	145
151	146
152	147
153	148
154	149
155	150
156	151
157	152
158	153
159	154
160	155
161	156
162	157
163	158
164	159
165	160
166	161
167	162
168	163
169	164
170	165
171	166
172	167
173	168
174	169
175	170
176	171
177	172
178	173
179	174
180	175
181	176
182	177
183	178
184	179
185	180
186	181
187	182
188	183
189	184
190	185
191	186
192	187
193	188
194	189
195	190
196	191
197	192
198	193
199	194
200	195
201	196
202	197
203	198
204	199
205	200
206	201
207	202
208	203
209	204
210	205
211	206
212	207
213	208
214	209
215	210
216	211
217	212
218	213
219	214
220	215
222	216
223	217
224	218
225	219
226	220
227	221
228	222
229	223
230	224
231	225
232	226
233	227
234	228
235	229
236	230
237	231
238	232
239	233
240	234
241	235
242	236
243	237
244	238
245	239
246	240
247	241
248	242
249	243
250	244
251	245
252	246
253	247
254	248
255	249
256	250
257	251
258	252
259	253
260	254
261	255
262	256
263	257
264	258
265	259
266	260
267	261
268	262
269	263
270	264
271	265
272	266
273	267
274	268
275	269
276	270
277	271
278	272
279	273
280	274
281	275
282	276
283	277
286	278
287	279
288	280
289	281
290	282
291	283
292	284
293	285
294	286
295	287
296	288
297	289
298	290
299	291
300	292
301	293
302	294
303	295
304	296
305	297
306	298
307	299
308	300
309	301
310	302
311	303
312	304
313	305
314	306
315	307
316	308
317	309
318	310
319	311
320	312
321	313
322	314
324	315
325	316
326	317
327	318
328	319
329	320
330	321
331	322
332	323
333	324
334	325
335	326
336	327
337	328
338	329
339	330
340	331
341	332
342	333
343	334
344	335
345	336
346	337
347	338
348	339
349	340
350	341
351	342
352	343
353	344
354	345
355	346
356	347
357	348
358	349
359	350
360	351
361	352
362	353
363	354
364	355
365	356
366	357
367	358
368	359
369	360
370	361
371	362
372	363
373	364
374	365
375	366
376	367
377	368
378	369
379	370
380	371
381	372
382	373
383	374
384	375
385	376
386	377
387	378
388	379
389	380
390	381
391	382
392	383
393	384
394	385
396	386
397	387
398	388
401	389
402	390
404	391
405	392
406	393
407	394
408	395
409	396
410	397
411	398
412	399
413	400
414	401
415	402
416	403
417	404
418	405
419	406
420	407
421	408
422	409
423	410
424	411
425	412
426	413
427	414
428	415
429	416
430	417
431	418
432	419
433	420
434	421
435	422
436	423
437	424
438	425
439	426
440	427
441	428
442	429
443	430
444	431
445	432
446	433
447	434
448	435
449	436
450	437
451	438
452	439
453	440
454	441
455	442
456	443
457	444
458	445
459	446
460	447
461	448
462	449
463	450
464	451
465	452
466	453
467	454
468	455
469	456
470	457
471	458
472	459
473	460
474	461
475	462
476	463
477	464
478	465
479	466
480	467
481	468
482	469
483	470
484	471
485	472
486	473
487	474
488	475
489	476
490	477
491	478
492	479
493	480
494	481
495	482
496	483
497	484
498	485
499	486
500	487
501	488
502	489
503	490
504	491
505	492
506	493
507	494
508	495
509	496
510	497
511	498
512	499
513	500
514	501
515	502
516	503
517	504
518	505
519	506
520	507
521	508
522	509
523	510
524	511
525	512
526	513
527	514
528	515
529	516
530	517
531	518
532	519
533	520
534	521
535	522
536	523
537	524
538	525
539	526
540	527
541	528
542	529
543	530
544	531
545	532
546	533
547	534
548	535
549	536
550	537
551	538
552	539
553	540
554	541
555	542
556	543
557	544
558	545
559	546
560	547
561	548
562	549
563	550
564	551
565	552
566	553
567	554
568	555
569	556
570	557
571	558
572	559
573	560
574	561
575	562
576	563
577	564
